"mz-rfile"
"Iteration" "mz"
("Iteration" "mz")
3013 -823.4473239280135
3014 -832.8519986925637
3015 -844.5880575738257
3016 -876.0819117511066
3017 -913.7801423975627
3018 -953.7533649215911
3019 -988.2544799688321
3020 -1025.724682432581
3021 -1061.158299606765
3022 -1094.446409676149
3023 -1128.517400232055
3024 -1153.815765965357
3025 -1171.767242513557
3026 -1178.304523196605
3027 -1178.94032039922
3028 -1176.065383624285
3029 -1169.28634853669
3030 -1161.918065769905
3031 -1154.973683883328
3032 -1151.795351832059
3033 -1150.040191394426
3034 -1152.212062881338
3035 -1155.499416158946
3036 -1164.569575174427
3037 -1173.315750611001
3038 -1186.050801169797
3039 -1201.129535950022
3040 -1219.650824410449
3041 -1240.026220082141
3042 -1263.310717970682
3043 -1287.521799844933
3044 -1313.962917619743
3045 -1340.561485850021
3046 -1367.722807990437
3047 -1393.98674909685
3048 -1420.659744721979
3049 -1445.589734510113
3050 -1470.327309223716
3051 -1493.095187492316
3052 -1515.098027558495
3053 -1534.536513154632
3054 -1552.828657473492
3055 -1562.909890124722
3056 -1577.798882131186
3057 -1589.919138730993
3058 -1597.400869753645
3059 -1606.467520811689
3060 -1614.512514716761
3061 -1620.095938470814
3062 -1623.454479788778
3063 -1626.372284046638
3064 -1628.657636029587
3065 -1628.939989178326
3066 -1629.046262709023
3067 -1628.047947815556
3068 -1626.39891869357
3069 -1624.361638560022
3070 -1621.446292707702
3071 -1618.604416843417
3072 -1614.844154934667
3073 -1611.586572785104
3074 -1608.594067876916
3075 -1603.233142410734
3076 -1600.185315204845
3077 -1596.407235066856
3078 -1593.233419683519
3079 -1587.874254178172
3080 -1584.951142225088
3081 -1581.393253952016
3082 -1577.11059051011
3083 -1574.001196659444
3084 -1571.611637737435
3085 -1567.749420376297
3086 -1565.980528560025
3087 -1562.800466175592
3088 -1561.549793568958
3089 -1559.165217930832
3090 -1558.571211529101
3091 -1557.179611132304
3092 -1556.803882384879
3093 -1556.040775775867
3094 -1556.504440864715
3095 -1556.574743733171
3096 -1557.826467734405
3097 -1558.330575728597
3098 -1559.781269842618
3099 -1560.784302414307
3100 -1562.529751558156
3101 -1563.63612290945
3102 -1565.552794445359
3103 -1566.656435213921
3104 -1568.362918206538
3105 -1569.277284937526
3106 -1570.827926307805
3107 -1571.616190214209
3108 -1572.810404174653
3109 -1573.328931551886
3110 -1574.45546749997
3111 -1574.550782944348
3112 -1575.183549903626
3113 -1574.740702645006
3114 -1574.747539915478
3115 -1574.191872194438
3116 -1573.752441962852
3117 -1572.812223123878
3118 -1572.222678972246
3119 -1571.054933668002
3120 -1569.652860370114
3121 -1568.366483221429
3122 -1566.626111135352
3123 -1564.950301689785
3124 -1563.167336534198
3125 -1560.84618249292
3126 -1559.5072343356
3127 -1556.928722375878
3128 -1554.855636253361
3129 -1552.779893883993
3130 -1551.009801269716
3131 -1549.200171610457
3132 -1547.81414687005
3133 -1545.732042041785
3134 -1544.416587142301
3135 -1543.019332092675
3136 -1542.08195673945
3137 -1540.878474528647
3138 -1539.755860244955
3139 -1538.535820047689
3140 -1538.090130507497
3141 -1537.664917220164
3142 -1537.861834965123
3143 -1537.766028604938
3144 -1538.521067838532
3145 -1538.538832082243
3146 -1539.689377571639
3147 -1540.303646445491
3148 -1541.845279612151
3149 -1544.14588142898
3150 -1546.502854486387
3151 -1549.261988041592
3152 -1553.641990665019
3153 -1557.174051058263
3154 -1561.102832278452
3155 -1565.892803069741
3156 -1571.996563896859
3157 -1577.502359509602
3158 -1583.471223478731
3159 -1589.80709428008
3160 -1596.849703733106
3161 -1604.415207023241
3162 -1612.634430452899
3163 -1621.19300738485
3164 -1632.389955560798
3165 -1641.635117518457
3166 -1651.588461515061
3167 -1662.109143767907
3168 -1673.171266733315
3169 -1684.686639005908
3170 -1699.681061922284
3171 -1712.419820304838
3172 -1725.789992318407
3173 -1738.989970950104
3174 -1756.609050782837
3175 -1770.828887656875
3176 -1788.352048292548
3177 -1802.623669213805
3178 -1820.2146646604
3179 -1834.447634630426
3180 -1852.92629626095
3181 -1867.013120208766
3182 -1886.008223210844
3183 -1901.083016328228
3184 -1919.774241829776
3185 -1935.915258902981
3186 -1956.05067782313
