"mz-rfile"
"Iteration" "mz"
("Iteration" "mz")
1609 478.4099567441052
1610 512.0621488245923
1611 555.229282156491
1612 656.6933723299585
1613 771.51309618435
1614 892.1369493100037
1615 999.8537066717764
1616 1113.618372002481
1617 1226.926977917492
1618 1327.584564207056
1619 1427.630995339622
1620 1513.899466951509
1621 1560.594369843779
1622 1579.588165004279
1623 1576.951091557753
1624 1562.467859069482
1625 1537.878956960108
1626 1513.708288770457
1627 1496.23582320137
1628 1482.617025148087
1629 1479.688623673302
1630 1485.005059253829
1631 1499.822592767714
1632 1525.195298599754
1633 1560.497521280267
1634 1594.266704374961
1635 1648.654012267948
1636 1696.141262397359
1637 1749.230797132943
1638 1807.33390569289
1639 1870.843871334478
1640 1937.266628457179
1641 2006.460414762107
1642 2075.17741091586
1643 2144.338691424374
1644 2232.24030816853
1645 2293.747475206818
1646 2351.619015479394
1647 2405.934910790953
1648 2454.408645398682
1649 2498.416783368551
1650 2536.787157750953
1651 2570.314155023678
1652 2598.949130798087
1653 2622.532250745383
1654 2640.775413648074
1655 2654.61177969497
1656 2664.033157154982
1657 2669.774991638673
1658 2671.893204253079
1659 2670.559154568032
1660 2666.320236193664
1661 2659.205203073695
1662 2649.869720101075
1663 2639.111078036659
1664 2630.207970820817
1665 2615.813782203243
1666 2605.114743102242
1667 2588.448198013027
1668 2576.496319293106
1669 2558.030219244815
1670 2545.520269367756
1671 2526.564052899001
1672 2513.646061071549
1673 2500.602384447347
1674 2487.070300453552
1675 2473.554814543925
1676 2459.692291523864
1677 2445.942985203109
1678 2431.953815343187
1679 2418.191781527272
1680 2404.196336581771
1681 2390.592779838283
1682 2376.820318671982
1683 2363.518881527727
1684 2350.411880670881
1685 2338.008159686757
1686 2325.812359424891
1687 2314.389139269642
1688 2303.20761478859
1689 2293.01495606745
1690 2283.034152092463
1691 2274.095852524208
1692 2265.265652262324
1693 2257.575290389245
1694 2250.028901442831
1695 2243.780480322286
1696 2237.434765904214
1697 2232.366047977061
1698 2227.052209038677
1699 2223.01248627618
1700 2218.456041159972
1701 2215.206653678337
1702 2211.13762099761
1703 2208.445980525448
1704 2204.815683532206
1705 2202.60865958167
1706 2199.158278873321
1707 2197.140123432567
1708 2193.704858426507
1709 2191.662481731755
1710 2188.13134444972
1711 2186.044332192056
1712 2182.277907893306
1713 2179.948651240316
1714 2175.759222610046
1715 2173.194303255174
1716 2168.712190871247
1717 2165.86013744287
1718 2160.994909121938
1719 2157.852154158893
1720 2152.774101587034
1721 2149.415682391829
1722 2144.03407416197
1723 2138.476740664692
1724 2133.239832707105
1725 2129.945125727671
1726 2122.637522390275
1727 2119.626333728397
1728 2112.70569669834
1729 2110.026333498339
1730 2103.514398102152
1731 2101.210286922044
1732 2095.279899110343
1733 2093.541788304097
1734 2088.329566182102
1735 2085.894247174705
1736 2082.542368516803
1737 2080.774781079775
1738 2077.120862144462
1739 2076.077576047132
1740 2073.002646765108
1741 2072.804610287916
1742 2070.416313712127
1743 2070.866250337609
1744 2068.97224567607
1745 2070.074610026177
1746 2068.775094399809
1747 2070.281387978467
1748 2069.459069848099
1749 2071.267265207912
1750 2070.710566826061
1751 2072.814897093371
1752 2072.538952646664
1753 2074.742356018883
1754 2074.531950167372
1755 2076.749020276149
1756 2076.545733382254
1757 2078.778259881005
1758 2078.550326861739
1759 2080.657958606051
1760 2080.249015037227
1761 2082.161222910891
1762 2081.655489815342
1763 2083.31612410644
1764 2082.478740590176
1765 2083.748343938182
1766 2082.760233741475
1767 2083.855986076315
1768 2082.493172844932
1769 2083.19525268025
1770 2081.666938472804
1771 2082.052765415749
1772 2080.166803764745
1773 2080.081743026233
1774 2077.44385339156
1775 2077.33211467603
1776 2074.943851507296
1777 2073.920418176216
1778 2071.284718669175
1779 2070.607860342184
1780 2067.09383067317
1781 2066.161100651687
1782 2062.470750650207
1783 2061.437372301002
1784 2057.573518314884
1785 2056.386980618965
1786 2052.199257621706
1787 2050.87605758143
1788 2046.533636295371
1789 2045.008533867245
1790 2040.389233908305
1791 2037.880330558615
1792 2034.143557857676
1793 2031.575087639837
1794 2026.856841819471
1795 2024.184472018377
1796 2019.273964672602
1797 2016.607558105735
1798 2012.772858263015
1799 2010.035460672282
1800 2005.175127744819
1801 2002.573618266204
1802 1997.948091637505
1803 1995.835424245653
1804 1992.203968698417
1805 1990.033241099172
1806 1985.870954785267
1807 1984.023617322558
1808 1980.788171886824
1809 1979.136837793333
1810 1975.672827826817
1811 1974.933394744003
1812 1971.881352106951
1813 1971.548851079106
1814 1969.022770595076
1815 1968.95247325223
1816 1966.922790394137
1817 1967.373367551912
1818 1966.01766381493
1819 1966.923868998532
1820 1966.100973099547
1821 1967.467162025754
1822 1967.25362641776
1823 1969.16161885933
1824 1969.527080180918
1825 1971.921601459097
1826 1973.029996964073
1827 1976.012086153242
1828 1977.778179836385
1829 1981.40345832648
1830 1983.849422696572
1831 1988.085382386847
1832 1991.028884933681
1833 1995.811862873269
1834 1999.42613189971
1835 2004.608090245818
1836 2008.766346743963
1837 2014.437106227265
1838 2019.058494542367
1839 2025.247571193241
1840 2030.375351937672
1841 2036.860715559692
1842 2042.376487825041
1843 2049.168421467909
1844 2054.905278749589
1845 2062.133986731693
1846 2068.168716071767
1847 2077.782993632592
1848 2084.066859532079
1849 2091.429913003435
1850 2100.022945233841
1851 2107.435605150029
1852 2116.054683471185
1853 2123.393393174849
1854 2131.544155334496
1855 2138.810264561991
1856 2147.292349754957
1857 2154.60405132967
1858 2163.129662370686
1859 2172.607336894047
1860 2178.540490910681
1861 2187.954205393827
1862 2196.169644197784
1863 2205.202823210991
1864 2213.159668097916
1865 2221.870987646807
1866 2229.215591712795
1867 2237.610586684375
1868 2244.912201922021
1869 2253.306291693016
1870 2260.539203257749
1871 2268.716449969869
1872 2275.513448859729
1873 2283.502191446611
1874 2290.387302942112
1875 2298.383111890141
1876 2305.158771996526
1877 2312.855516032545
1878 2319.434628363927
1879 2326.77581557949
1880 2332.708990995568
1881 2339.793323818912
1882 2345.796875951303
1883 2352.415018679741
1884 2357.839647400861
1885 2362.825133435101
1886 2368.169676909774
1887 2374.363717705622
1888 2379.151659570547
1889 2383.679171490789
1890 2388.198270350295
1891 2393.404056162592
1892 2396.109190128984
1893 2400.776667371928
1894 2403.243613648278
1895 2407.344907457669
1896 2409.411145312028
1897 2412.721207251726
1898 2413.865729915778
1899 2415.834306446471
1900 2416.79495577415
1901 2417.898896833733
1902 2417.775688685094
1903 2417.996193295658
1904 2417.125553796495
1905 2416.537511211983
1906 2414.637846634183
1907 2413.136419511511
1908 2410.17893434581
1909 2407.736435991098
1910 2403.985948435485
1911 2400.580873941494
1912 2395.888706411937
1913 2391.477579831174
1914 2385.941150729524
1915 2380.813333442999
1916 2374.453194938854
1917 2368.604413759953
1918 2361.711816635228
1919 2355.332370925202
1920 2347.962906497432
1921 2341.103231341243
1922 2333.343508352116
1923 2326.026726642916
1924 2317.822731168092
1925 2307.888731221093
1926 2299.930281422288
1927 2292.67599599436
1928 2282.36413741852
1929 2275.360970998659
1930 2265.56125571621
1931 2259.071129823471
1932 2249.659997164737
1933 2243.580161890669
1934 2234.879236647283
1935 2229.178508313328
1936 2220.966032370877
1937 2215.720536113578
1938 2208.231246434215
1939 2203.283705119216
1940 2196.026106248217
1941 2191.476474237542
1942 2184.676030747741
1943 2180.380071842327
1944 2174.01351316181
1945 2170.091577539134
1946 2165.567240294816
1947 2160.317853803308
1948 2156.002321719313
1949 2152.549328700235
1950 2147.338036592099
1951 2144.125309999644
1952 2140.316384215497
1953 2137.323068533628
1954 2133.662538225884
1955 2130.69654407573
1956 2127.247432408042
1957 2124.40812573007
1958 2121.017825758966
1959 2118.366975867156
1960 2115.173360310824
1961 2112.678130115532
1962 2109.453543871001
1963 2106.908361808287
1964 2103.82854422093
1965 2101.363919076357
1966 2098.207571255854
1967 2095.772040318513
1968 2092.692330308117
1969 2091.148120553998
1970 2088.000312380952
1971 2086.305742066836
1972 2082.97852497128
1973 2081.152246368248
1974 2077.573539230714
1975 2075.617614261319
1976 2071.809076473723
1977 2069.651070200654
1978 2065.622177831752
1979 2063.291398317571
1980 2059.167844910305
1981 2056.750386128829
1982 2052.56389933638
1983 2050.019313083108
1984 2045.496032453108
1985 2042.889578503714
1986 2038.361509823658
1987 2034.34062804547
1988 2031.247311117285
1989 2027.026149273091
1990 2022.641220921526
1991 2020.030958342843
1992 2015.615138349786
