"mz-rfile"
"Iteration" "mz"
("Iteration" "mz")
2552 -696.7379841867444
2553 -711.4784286653411
2554 -730.1458000746231
2555 -774.2207048110185
2556 -830.7209121897614
2557 -886.1304848298172
2558 -938.7898637990827
2559 -992.9259485515159
2560 -1045.516349525837
2561 -1093.47073438376
2562 -1143.351657872406
2563 -1180.450286047319
2564 -1205.754424518248
2565 -1214.722482614694
2566 -1209.2422258044
2567 -1194.041372285659
2568 -1178.443297049389
2569 -1156.970547192953
2570 -1138.516771998112
2571 -1124.620462284237
2572 -1112.346192783673
2573 -1105.791712139717
2574 -1101.106668058145
2575 -1101.564105537305
2576 -1107.805759989704
2577 -1116.800226239817
2578 -1134.370741350803
2579 -1152.151434357947
2580 -1173.337219840147
2581 -1198.040897272085
2582 -1226.22455796052
2583 -1256.706253669105
2584 -1289.570766127412
2585 -1323.154039878043
2586 -1358.245029027706
2587 -1393.218352380788
2588 -1427.261041619523
2589 -1460.080898543079
2590 -1491.094718652811
2591 -1519.824085776093
2592 -1554.364469042906
2593 -1576.175553597836
2594 -1595.208668860636
2595 -1610.814605296831
2596 -1622.812842449522
2597 -1631.117673911176
2598 -1636.52410279443
2599 -1638.562922764013
2600 -1638.063970763061
2601 -1635.357053860409
2602 -1630.515790417414
2603 -1623.707111861537
2604 -1615.481118433481
2605 -1606.232705363564
2606 -1596.068805513408
2607 -1585.369920761302
2608 -1574.443164401658
2609 -1563.331446695752
2610 -1552.419029895589
2611 -1541.564380992571
2612 -1530.83956828792
2613 -1520.532988804186
2614 -1511.003971669425
2615 -1501.916202128038
2616 -1493.558156590066
2617 -1485.706797937063
2618 -1478.666125509929
2619 -1472.144279747812
2620 -1466.488082295886
2621 -1463.136729824869
2622 -1458.889791650976
2623 -1454.954230218645
2624 -1451.908667387602
2625 -1450.073277101555
2626 -1447.902946262098
2627 -1445.998871157865
2628 -1444.484886495233
2629 -1443.567119916347
2630 -1442.566106807755
2631 -1442.117311476565
2632 -1441.91613029293
2633 -1441.72617545596
2634 -1441.756729016749
2635 -1441.699386314491
2636 -1442.023349333489
2637 -1442.212039253551
2638 -1442.461730012383
2639 -1442.715677979974
2640 -1443.38678689384
2641 -1443.425351611088
2642 -1443.785889990991
2643 -1443.540764508456
2644 -1443.745976737707
2645 -1443.355385738659
2646 -1443.169556142604
2647 -1442.846198602512
2648 -1442.403609724055
2649 -1441.539651040521
2650 -1440.878414875641
2651 -1439.787024660239
2652 -1438.8343560171
2653 -1437.565584129379
2654 -1436.826831626006
2655 -1435.475960407226
2656 -1434.173662938232
2657 -1432.557013230894
2658 -1431.356665856819
2659 -1429.812135151601
2660 -1428.167209509739
2661 -1426.516299837533
2662 -1425.450856326572
2663 -1423.773468937393
2664 -1422.623814393212
2665 -1421.371226192217
2666 -1420.737160151507
2667 -1420.254820151882
2668 -1419.47604079737
2669 -1419.025217653277
2670 -1418.796554985792
2671 -1418.691133021489
2672 -1419.376200762402
2673 -1419.468754296801
2674 -1419.949945704082
2675 -1420.892391283233
2676 -1421.301834223681
2677 -1421.652243866713
2678 -1422.422721878234
2679 -1423.547910783592
2680 -1424.65523391602
2681 -1426.082638580324
2682 -1427.411401717541
2683 -1429.264700651589
2684 -1430.691417324746
2685 -1432.100523834119
2686 -1433.925789643268
2687 -1435.742017926865
2688 -1438.450589296144
2689 -1441.358442929647
2690 -1443.902431302292
2691 -1446.235097278015
2692 -1448.738694006318
2693 -1451.401385556723
2694 -1454.166073039979
2695 -1456.994329636276
2696 -1459.922880179481
2697 -1463.120829827875
2698 -1466.613574581067
2699 -1470.342025490429
2700 -1474.582099703086
2701 -1478.601176315268
2702 -1482.784262668558
2703 -1486.97258077551
2704 -1491.456220947331
2705 -1496.213644809957
2706 -1500.786463951013
2707 -1506.108760412181
2708 -1511.425373485264
2709 -1517.027655029468
2710 -1522.295314909981
2711 -1528.195591756776
2712 -1534.159649120309
2713 -1540.326561090975
2714 -1546.943766473787
2715 -1553.805234132616
2716 -1560.849144825921
2717 -1568.428557963852
2718 -1576.590601098015
2719 -1584.8523631762
2720 -1593.399340829229
2721 -1602.665001963882
2722 -1612.093097162174
2723 -1622.026882949466
2724 -1631.953045406168
2725 -1641.698667137848
2726 -1651.674797756612
2727 -1662.176155583854
2728 -1673.20370946402
2729 -1684.131127265668
2730 -1695.506413248273
2731 -1706.896315638128
2732 -1718.14918006943
2733 -1730.154016606629
2734 -1741.773528190447
2735 -1753.560247094153
2736 -1766.385176051622
2737 -1779.335673333777
2738 -1791.833569149976
2739 -1805.319783116205
2740 -1818.137202873438
2741 -1831.00013472622
2742 -1844.18010538455
2743 -1857.598914358597
2744 -1870.731205966295
2745 -1884.224010054336
2746 -1897.53075174888
2747 -1910.928196514695
2748 -1924.175459942376
2749 -1937.737340333091
2750 -1951.291452311314
2751 -1964.778789644594
2752 -1978.313240625788
2753 -1991.90654151509
2754 -2005.747487970465
2755 -2019.146193230363
2756 -2032.689277909235
2757 -2046.21629730812
2758 -2059.205703227439
2759 -2072.838957613925
2760 -2085.813635149468
2761 -2098.526583571709
2762 -2110.870737974465
2763 -2123.161695879083
2764 -2135.328051646787
2765 -2147.428118143979
2766 -2158.952086882513
2767 -2167.782076892587
2768 -2179.636672887891
2769 -2190.86778929815
2770 -2202.027422973111
2771 -2210.333364707117
2772 -2221.145370237494
2773 -2231.79459883066
2774 -2239.904432607452
2775 -2250.588193471442
2776 -2258.278796168951
2777 -2268.247300721402
2778 -2275.821843214675
2779 -2285.530382879962
2780 -2292.800801486012
2781 -2301.899078978854
2782 -2308.736858060352
2783 -2317.51848188747
2784 -2323.629728556024
2785 -2329.824005848758
2786 -2337.819517238355
2787 -2343.565314666941
2788 -2349.105243654121
2789 -2354.117765288575
2790 -2358.935798084958
2791 -2363.691755701156
2792 -2368.323413185456
2793 -2372.519650722566
2794 -2376.668638153021
2795 -2380.115795721916
2796 -2383.677104602868
2797 -2386.788836327074
2798 -2389.869268171471
2799 -2392.267097883163
2800 -2394.292963178378
2801 -2396.067883297278
2802 -2397.48005342248
2803 -2398.498372371161
2804 -2399.256447523702
2805 -2399.501220180259
2806 -2399.722046350545
2807 -2399.333154186955
2808 -2398.722748356136
2809 -2397.432937294127
2810 -2395.955605938945
2811 -2394.149058487241
2812 -2392.571991729409
2813 -2390.549058260558
2814 -2388.179085443815
2815 -2385.311776910886
2816 -2382.478484277145
2817 -2379.307169372397
2818 -2376.039875071527
2819 -2372.681142584104
2820 -2369.097030780231
2821 -2365.099025724528
2822 -2361.006523508107
2823 -2356.749705375407
2824 -2352.233926384048
2825 -2347.256407460205
2826 -2342.42553760369
2827 -2337.145169529956
